Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Card slot,Phonebook,Call records,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Messaging,Browser,Games,Java,,Type_1,Stand-by,Talk time,Music play,Colors,Price,GPRS,EDGE,_1,Internal,Alert types,_1_1,Protection,Infrared port,SAR EU,OS,CPU,Clock,Alarm
sagem,Sagem my234x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg,GSM,GSM 900 / 1800,,,"2008, February. Released 2008",Discontinued,106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in),75 g (2.65 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,No,No,FM radio,Proprietary,,SMS,No,Yes,No,No,Removable Li-Ion battery,Up to 450 h,Up to 6 h,,Black,,No,No,Predictive text input Organizer,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my231x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg,GSM,GSM 900 / 1800,,,"2008, February. Released 2008",Discontinued,106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in),75 g (2.65 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,Yes,No,No,Proprietary,,SMS,No,Yes,No,No,Removable Li-Ion battery,Up to 450 h,Up to 6 h,,Black,,No,No,Predictive text input Organizer,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my230x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my230x.jpg,GSM,GSM 900 / 1800,,,"2008, February. Released 2008",Discontinued,106 x 46 x 10 mm (4.17 x 1.81 x 0.39 in),65 g (2.29 oz),Mini-SIM,"CSTN, 65K colors","1.8 inches, 10.2 cm2 (~20.9% screen-to-body ratio)",128 x 160 pixels (~114 ppi density),No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,No,No,No,Proprietary,,SMS,No,mySUDOKU,No,No,Removable Li-Ion battery,Up to 240 h,Up to 3 h,,,,No,No,Predictive text input Organizer,,Vibration; Polyphonic ringtones,,,,,,,,
sagem,Sagem my226x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my226x.jpg,GSM,GSM 900 / 1800,,,"2008, February. Released 2008",Discontinued,103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in),65 g (2.29 oz),Mini-SIM,"CSTN, 65K colors",", 26 x 28 mm","128 x 128 pixels, 1:1 ratio",No,"Yes, up to 250 entries","20 dialed, 20 received, 20 missed calls",,,,,,No,No,No,No,No,No,Proprietary,,SMS,No,Yes,No,No,Removable Li-Ion 670 mAh battery,Up to 240 h,Up to 3 h,,Black,,No,No,Organizer Predictive text input,,,,,,,,,,
sagem,Sagem my220x,https://fdn2.gsmarena.com/vv/bigpic/sagem-my220x.jpg,GSM,GSM 900 / 1800,,,"2008, February",Discontinued,107 x 47 x 10 mm (4.21 x 1.85 x 0.39 in),65 g (2.29 oz),Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm2 (~14.4% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",No,Yes,"20 dialed, 20 received, 20 missed calls",,,,,,Yes,No,No,No,No,No,Proprietary,,SMS,No,Yes,No,No,Removable Li-Ion battery,Up to 240 h,Up to 3 h,,"Chrome, Bronze, Red",About 60 EUR,No,No,Predictive text input Organizer,,Vibration; Polyphonic(32) ringtones,,,,,,,,
sagem,Sagem my901C,https://fdn2.gsmarena.com/vv/bigpic/sagem-my901c.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2007, March. Released 2008, February",Discontinued,90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in),115 g (4.06 oz),Mini-SIM,"TFT, 256K colors","1.9 inches, 11.2 cm2 (~27.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~211 ppi density)",miniSD,Yes,"20 dialed, 20 received, 20 missed calls",2 MP,,Yes,VGA videocall camera,,No,No,No,"2.0, A2DP",No,No,Proprietary,,"SMS, EMS, MMS, Email",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0","Second external TFT, 256K colors display (96 x 64 pixels)",Removable Li-Ion battery,Up to 300 h,Up to 5 h,,"Black, Dark Blue, Dark Red",,,,Video telephony & streaming MP3/AAC player  Predictive text input Organizer Voice memo,,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my900C,https://fdn2.gsmarena.com/vv/bigpic/sagem-my900c.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2006, March",Cancelled,90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in),115 g (4.06 oz),Mini-SIM,"TFT, 256K colors",,"240 x 320 pixels, 4:3 ratio",miniSD,Yes,"20 dialed, 20 received, 20 missed calls",2 MP,,Yes,VGA videocall camera,,No,No,No,Yes,No,No,Proprietary,,"SMS, EMS, MMS, Email",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0","Second external TFT, 256K colors display (96 x 64 pixels)",Removable Li-Ion battery,,,,,,,,Video telephony & streaming MP3/AAC player  Predictive text input Organizer Voice memo,,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my850C,https://fdn2.gsmarena.com/vv/bigpic/sagem-my850c.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2006, March",Discontinued,96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in),95 g (3.35 oz),Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~26.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",microSD (dedicated slot),Yes,"20 dialed, 20 received, 20 missed calls",2 MP,,Yes,VGA videocall camera,,No,No,No,"2.0, A2DP",No,No,1.0,,"SMS, EMS, MMS, Email",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",Second external mono display (96 x 64 pixels),Removable Li-Ion battery,Up to 300 h,Up to 3 h 30 min,,Black,About 250 EUR,,,Video telephony & streaming MP3/AAC/AAC+/eAAC+ player  Predictive text input Organizer Voice memo,64MB,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my800X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my800x.gif,GSM / UMTS,GSM 900 / 1800 / 1900,UMTS 2100,"Yes, 384 kbps","2006, March",Discontinued,110 x 47 x 16 mm (4.33 x 1.85 x 0.63 in),99 g (3.49 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,miniSD,Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,VGA videocall camera,,No,No,No,Yes,No,No,1.0,,"SMS, EMS, MMS, Email",WAP 2.0/xHTML,2,"Yes, MIDP 2.0",Video telephony & streaming MP3/AAC player  Predictive text input Organizer Voice memo,Removable Li-Ion 1000 mAh battery,,,,"Silver, Black",About 190 EUR,,,,16MB,Vibration; Downloadable polyphonic ringtones,,,,,,,,
sagem,Sagem my700X,https://fdn2.gsmarena.com/vv/bigpic/sagem-my700x.gif,GSM,GSM 850 / 900 / 1800 / 1900,,,"2006, February",Discontinued,"106 x 46 x 15 mm, 73 cc (4.17 x 1.81 x 0.59 in)",95 g (3.35 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,miniSD,Yes,"20 dialed, 20 received, 20 missed calls",1.3 MP,,Yes,,,No,No,No,"1.2, A2DP",No,FM radio,Proprietary,,"SMS, EMS, MMS, Email",WAP 2.0/xHTML,Yes,"Yes, MIDP 2.0",No,Removable Li-Ion battery,Up to 350 h,Up to 5 h,,"Silver, Choco, White",,Class 10,Class 10,3D sound,32MB,Vibration; Downloadable polyphonic ringtones,MP3/AAC/AAC+/eAAC/Wave player Graphic equalizer SyncML Predictive text input Organizer,,,,,,,
