Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java,4G bands,Music play,NFC,Build,Quad,Dual,Features_1,Charging,Models,Performance,Display,Camera,Loudspeaker_1,Battery life,Triple,Protection,128GB 4GB RAM,SAR,64GB 4GB RAM,Dual_1,SAR EU,Clock,Alarm,Audio quality,5G bands,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,128GB 6GB RAM 
lenovo,Lenovo A6000 Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6000.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,"HSPA, LTE Cat4 150/50 Mbps","2015, April. Released 2015, April",Discontinued,141 x 70 x 8.2 mm (5.55 x 2.76 x 0.32 in),128 g (4.52 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",eMMC 4.5,"Android 4.4.4 (KitKat), upgradable to 5.2 (Lollipop)",Quad-core 1.2 GHz Cortex-A53,microSDHC (dedicated slot),16GB 2GB RAM,"8 MP, f/2.2, AF",720p@30fps,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 2300 mAh, removable",Up to 264 h (2G) / Up to 264 h (3G),Up to 22 h (2G) / Up to 13 h (3G),"Black, White, Yellow, Red",About 110 EUR,Qualcomm MSM8916 Snapdragon 410 (28 nm),Adreno 306,LED flash,,,,,,,,,,,,"1, 3, 7, 20, 40 - Data only, no voice",,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo A1900,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a1900.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,HSPA,"2015, April. Released 2015, April",Discontinued,121 x 62 x 9.5 mm (4.76 x 2.44 x 0.37 in),117 g (4.13 oz),,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm2 (~60.7% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",No,Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,microSDHC (dedicated slot),4GB 512MB RAM,2 MP,Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot",2.0,"Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 1500 mAh, removable",,,Black,About 60 EUR,Spreadtrum SC7730,Mali-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo K3 Note,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k3-note.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA, TD-SCDMA, LTE, TD-LTE","2015, March. Released 2015, March",Discontinued,152.6 x 76.2 x 8 mm (6.01 x 3.00 x 0.31 in),150 g (5.29 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - India,"Android 5.2 (Lollipop), upgradable to 6 (Marshmallow)",Octa-core 1.7 GHz Cortex-A53,microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.0, AF",1080p@30fps,"5 MP, f/2.4",,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity, compass",,HSDPA 2100 - India,"Li-Ion 3000 mAh, removable",Up to 750 h (3G),Up to 36 h (3G),"Onyx Black, Pearl White, Laser Yellow",About 150 EUR,Mediatek MT6752 (28 nm),Mali-T760MP2,"Dual-LED flash, HDR, panorama",,,,,,,,,,,,"1, 3, 7, 38, 39, 40, 41",,,,,,,,"K50a40, K50-t5, K50-t3s",Basemark OS II 2.0: 984Basemark X: 5656,Contrast ratio: 1793:1 (nominal),Photo / Video,Voice 65dB / Noise 66dB / Ring 76dB,Endurance rating 53h,,Asahi Dragontrail Glass,,,,,,,,,,,,,
lenovo,Lenovo Vibe Shot,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-shot.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, March. Released 2015, June",Discontinued,142 x 70 x 7.3 mm (5.59 x 2.76 x 0.29 in),145 g (5.11 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",eMMC 4.5,Android 5.0.2 (Lollipop),Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),microSDXC (dedicated slot),32GB 3GB RAM,"16 MP, f/2.2, AF, OIS",1080p@30fps,"8 MP, f/2.2",1080p@30fps,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual band, hotspot","4.1, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,"Li-Po 3000 mAh, non-removable",Up to 456 h (3G),Up to 30 h (2G) / Up to 21 h (3G),"Crimson, Pearl White, Graphite Grey",About 300 EUR,Qualcomm MSM8939 Snapdragon 615 (28 nm),Adreno 405,"Triple-LED dual-tone flash, panorama, HDR",,,,,,,,,,,,LTE 800 / 1800 / 2100 / 2600 - Lenovo Z90-7,,,,,,,,"Z90a40, Z90-7",,"Contrast ratio: 1728 (nominal),  3.113 (sunlight)",Photo / Video,Voice 66dB / Noise 65dB / Ring 71dB,Endurance rating 54h,,Corning Gorilla Glass 3,,,,,,,,Noise -83.0dB / Crosstalk -94.5dB,,,,,
lenovo,Lenovo A7000 Plus,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7000-plus.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,"HSPA, LTE Cat4 150/50 Mbps","2015, September. Released 2015, September",Discontinued,152.6 x 76.2 x 8 mm (6.01 x 3.00 x 0.31 in),140 g (4.94 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"Android 5.0 (Lollipop), upgradable to 6.0 (Marshmallow)",Octa-core 1.7 GHz Cortex-A53,microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.0, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass",,,"Li-Po 2900 mAh, removable",,,"Onyx Black, Pearl White, Yellow",About 190 EUR,Mediatek MT6752 (28 nm),Mali-T760MP2,Dual-LED flash,,,,,,,,,,,,LTE (unspecified),,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo A7000,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7000.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,"HSPA, LTE Cat4 150/50 Mbps","2015, March 02. Released 2015, April 07",Discontinued,152.6 x 76.2 x 8 mm (6.01 x 3.00 x 0.31 in),140 g (4.94 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",HSDPA 850 / 900 / 1900 / 2100,"Android 5.0.2 (Lollipop), upgradable to 6.0 (Marshmallow)",Octa-core 1.5 GHz Cortex-A53,microSDHC (dedicated slot),8GB 2GB RAM,"8 MP, f/2.2, AF",1080p@30fps,5 MP,720p,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 2900 mAh, removable",Up to 264 h (2G) / Up to 264 h (3G),Up to 39 h (2G) / Up to 16 h (3G),"Onyx Black, Pearl White, Yellow",About 150 EUR,Mediatek MT6752m,Mali-T760MP2,Dual-LED flash,,,,,,,,,,,,"1, 3, 7, 20, 40 - Data only, no voice",,,"Glass front, plastic back, plastic frame",,,,,A7000-a,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo A5000,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a5000.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,"2015, February. Released 2015, April",Discontinued,140 x 71.4 x 10 mm (5.51 x 2.81 x 0.39 in),160 g (5.64 oz),,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"Android 4.4.2 (KitKat), upgradable to 5.0.2 (Lollipop)",Quad-core 1.3 GHz Cortex-A7,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, f/2.2, AF",1080p@30fps,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,"Li-Po 4000 mAh, non-removable",Up to 768 h (2G) / Up to 804 h (3G),Up to 35 h (2G) / Up to 17 h (3G),"Black, White",About 150 EUR,Mediatek MT6582 (28 nm),Mali-400MP2,"LED flash, HDR",,,,,,,,,,,,,,,,,,,,A5000,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Tab 2 A10-70,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-2-a10.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA,"HSPA, LTE","2015, March. Released 2015, April",Discontinued,247 x 171 x 8.9 mm (9.72 x 6.73 x 0.35 in),509 g (1.12 lb),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 312.3 cm2 (~73.9% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~218 ppi density)",,"Android 4.4.4 (KitKat), upgradable to 5.0 (Lollipop)",Quad-core 1.7 GHz Cortex-A53,microSDXC (dedicated slot),16GB 2GB RAM,"8 MP, AF",Yes,5 MP,,"Yes, with multiple speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP",To be confirmed,FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 7000 mAh, non-removable",,Up to 15 h 30 min (multimedia),"Pearl White, Midnight Blue",About 180 EUR,Mediatek MT8732 (28 nm) - 4G modelMediatek MT8165 - Wi-Fi model,Mali-T760,,,,Yes,Yes,,,,,,,,LTE (unspecified),,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Tab 2 A8-50,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-2-a8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA,"HSPA, LTE Cat4 150/50 Mbps","2015, March. Released 2015, June",Discontinued,210 x 125 x 8.9 mm (8.27 x 4.92 x 0.35 in),360 g (12.70 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 195.8 cm2 (~74.6% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~184 ppi density)",,Android 5.0 (Lollipop),Quad-core 1.3 GHz Cortex-A53,microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM","5 MP, AF",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP",To be confirmed,FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 4290 mAh, non-removable",Up to 696 h,Up to 8 h (multimedia),"Pearl White, Ebony, Midnight Blue, Neon Pink",About 120 EUR,Mediatek MT8735 (28 nm) - 4G modelMediatek MT8161 (28 nm) - Wi-Fi model,Mali-T720MP2,,,,Yes,Yes,,,,,,,,LTE (unspecified),,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo P70,https://fdn2.gsmarena.com/vv/bigpic/lenovo-p70.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, January. Released 2015, February",Discontinued,142 x 71.8 x 8.9 mm (5.59 x 2.83 x 0.35 in),149 g (5.26 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,Android 4.4 (KitKat),Octa-core 1.7 GHz Cortex-A53,microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, f/2.0, AF",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,"microUSB 2.0, USB On-The-Go","Accelerometer, proximity",,,"Li-Po 4000 mAh, non-removable",Up to 816 h (2G) / Up to 696 h (3G),Up to 46 h (2G) / Up to 18 h (3G),Midnight Blue,About 240 EUR,Mediatek MT6752 (28 nm),Mali-T760MP2,"LED flash, HDR, panorama",,,,,,,,,,,,"1, 3, 7, 20 - Data only, no voice",,,,,,,,P70-A,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Tab 2 A7-30,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-2-a7-30.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"2015, January. Released 2015, April",Discontinued,191 x 105 x 8.9 mm (7.52 x 4.13 x 0.35 in),269 g (9.49 oz),,Mini-SIM,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~68.8% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Quad-core 1.3 GHz Cortex-A7,microSDHC (dedicated slot),16GB 1GB RAM,2 MP,1080p@30fps,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 3450 mAh, non-removable",Up to 432 h (3G),Up to 8 h (3G),"Pearl White, Ebony Black, Aqua Blue, Cotton Candy",About 110 EUR,Mediatek MT8382M (28 nm),Mali-400MP2,,,,,,,,,,,,,,,,,,,,,TAB 2 A7-30HC,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Tab 2 A7-20,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab2-a7-20.jpg,No cellular connectivity,N/A,,,"2015, January. Released 2015, January",Discontinued,189 x 105 x 9.3 mm (7.44 x 4.13 x 0.37 in),269 g (9.49 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~69.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"Android 4.4 (KitKat), upgradable to 5.0 (Lollipop)",Quad-core 1.3 GHz Cortex-A7,microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM",2 MP,Yes,VGA,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,,,"Li-Ion 3450 mAh, non-removable",Up to 432 h,Up to 8 h (multimedia),Black,About 100 EUR,Mediatek MT8127 (28 nm),Mali-450MP4,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Tab 2 A7-10,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-2-a7-10.jpg,No cellular connectivity,N/A,,,"2015, January. Released 2015, January",Discontinued,189 x 105 x 9.3 mm (7.44 x 4.13 x 0.37 in),269 g (9.49 oz),,No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~69.5% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",No,"Android 4.4 (KitKat), upgradable to 5.0 (Lollipop)",Quad-core 1.3 GHz Cortex-A7,microSDHC (dedicated slot),"8GB 1GB RAM, 16GB 1GB RAM",VGA,Yes,,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",No,microUSB 2.0,Accelerometer,,,"Li-Ion 3450 mAh, non-removable",Up to 432 h,Up to 8 h (multimedia),Black,About 90 EUR,Mediatek MT8127 (28 nm),Mali-450MP4,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo A6000,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6000.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100,"HSPA, LTE Cat4 150/50 Mbps","2015, January 09. Released 2015, January 28",Discontinued,141 x 70 x 8.2 mm (5.55 x 2.76 x 0.32 in),128 g (4.52 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",eMMC 4.5,Android 4.4.4 (KitKat),Quad-core 1.2 GHz Cortex-A53,microSDHC (dedicated slot),8GB 1GB RAM,"8 MP, f/2.0, AF",720p@30fps,2 MP,720p,"Yes, dual speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 2300 mAh, removable",Up to 264 h (2G) / Up to 264 h (3G),Up to 22 h (2G) / Up to 13 h (3G),Black,About 100 EUR,Qualcomm MSM8916 Snapdragon 410 (28 nm),Adreno 306,LED flash,,,,,,,,,,,,"1, 3, 7, 20, 40",,,"Glass front, plastic back, plastic frame",,,,,A6000,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo P90,https://fdn2.gsmarena.com/vv/bigpic/lenovo-p90.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, January. Released 2015, April",Discontinued,150 x 77.4 x 8.5 mm (5.91 x 3.05 x 0.33 in),156 g (5.50 oz),,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,Android 4.4 (KitKat),Quad-core 1.83 GHz,No,32GB 2GB RAM,"13 MP, AF, OIS",1080p@30fps,5 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual band, hotspot","4.1, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,"Li-Po 4000 mAh, non-removable",,,"Pearl White, Lava Red, Onyx Black",About 450 EUR,Intel Atom Z3560,PowerVR G6430,"Dual-LED dual-tone flash, panorama, HDR",,,,,,,,,,,,"1, 3, 7, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Vibe X2 Pro,https://fdn2.gsmarena.com/vv/bigpic/lenovo-vibe-x2-pror.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","2015, January. Released 2015, April",Discontinued,146.3 x 71 x 7 mm (5.76 x 2.80 x 0.28 in),140 g (4.94 oz),,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.3 inches, 77.4 cm2 (~74.6% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~416 ppi density)",eMMC 4.5,"Android 4.4 (KitKat), Vibe UI 2",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),microSDXC (uses shared SIM slot),32GB 2GB RAM,"13 MP, AF",1080p@30fps,"13 MP, AF",,Yes,Yes,"Wi-Fi 802.11 b/g/n/ac, dual band, hotspot","4.0, A2DP, LE","Yes, with A-GPS, GLONASS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,Air gestures,"Li-Po 2410 mAh, non-removable",,,"Champagne Gold, Rock Pink, Electric Blue",About 330 EUR,Qualcomm MSM8939 Snapdragon 615 (28 nm),Adreno 405,"LED flash, panorama, HDR",,,,,,,,,,,,"1, 3, 7, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo K3,https://fdn2.gsmarena.com/vv/bigpic/lenovo-lemon-k31.jpg,GSM / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,TD-SCDMA,"TD-SCDMA, TD-LTE","2014, December. Released 2014, December",Discontinued,141 x 70.5 x 7.9 mm (5.55 x 2.78 x 0.31 in),128 g (4.52 oz),,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~69.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",eMMC 4.5,Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A53,microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, f/2.2, 28mm (wide), 1/4.0"", 1.12µm, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity, compass",,,"Li-Ion 2300 mAh, removable",Up to 580 h,Up to 31 h,Yellow,About 80 EUR,Qualcomm MSM8916 Snapdragon 410 (28 nm),Adreno 306,LED flash,,,Yes,Yes,,,,,,,,LTE (unspecified),,,,,,,,,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo Golden Warrior Note 8,https://fdn2.gsmarena.com/vv/bigpic/lenovo-golden-warrior-note-8.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA,HSPA,"2014, December. Released 2014, December",Discontinued,169.3 x 83.6 x 8.7 mm (6.67 x 3.29 x 0.34 in),170 g (6.00 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~70.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,Android 4.4.2 (KitKat),Octa-core 1.7 GHz Cortex-A53,microSDHC (dedicated slot),8GB 1GB RAM,"13 MP, AF",Yes,5 MP,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,Accelerometer,,,"Li-Ion 3300 mAh, removable",,,White,About 160 EUR,Mediatek MT6752 (28 nm),Mali-T760,LED flash,,,Yes,Yes,,,,,,,,LTE (unspecified),,,,,,,,A936,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo A916,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a916.jpg,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,"HSPA, LTE","2014, November. Released 2014, November",Discontinued,149.5 x 76.6 x 8.7 mm (5.89 x 3.02 x 0.34 in),173 g (6.10 oz),,Dual SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,Android 4.4.2 (KitKat),Octa-core 1.4 GHz Cortex-A7,microSDHC (dedicated slot),8GB 1GB RAM,"13 MP, AF",Yes,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Po 2500 mAh, removable",,,"White, Black",About 160 EUR,Mediatek MT6592 (28 nm),Mali-450MP4,Dual-LED flash,,,,,,,,,,,,"1, 3",,,,,,,,A916,,,,,,,,,,,,,,,,,,,,
lenovo,Lenovo A319,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a319.jpg,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,HSPA 21.1/5.76 Mbps,"2014, October. Released 2014, October",Discontinued,123.5 x 63.8 x 10.2 mm (4.86 x 2.51 x 0.40 in),130 g (4.59 oz),,"Dual SIM (Mini-SIM, dual stand-by)",TFT capacitive touchscreen,"4.0 inches, 45.5 cm2 (~57.8% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Android 4.4.2 (KitKat),Dual-core 1.3 GHz Cortex-A7,microSDHC (dedicated slot),4GB 512MB RAM,5 MP,480p,2 MP,,Yes,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS",FM radio,microUSB 2.0,"Accelerometer, proximity",,,"Li-Ion 1500 mAh, removable",Up to 372 h (2G) / Up to 240 h (3G),Up to 4 h (2G) / Up to 3 h 30 min (3G),"White, Black, Red",About 70 EUR,Mediatek MT6572 (28 nm),Mali-400,,,,,,,,,,,,,,,,,,,,,A319,,,,,,,,,,,,,,,,,,,,
