Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,CPU,GPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Type_1,Charging,Colors,Price,Chipset,,Triple,Stand-by,Talk time,Features_1,Dual,Protection,_1,_1_1,Models,Build,GPRS,EDGE,Phonebook,Call records,Messaging,Games,Java,Dual_1,NFC,Music play,Infrared port,Keyboard,Browser,SAR EU,SAR,Alert types
hp,HP Slate7 VoiceTab Ultra,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-voicetab-ultra.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100,"1, 3, 7, 20, 40","HSPA, LTE",2014. Released 2014,Discontinued,183.5 x 103.9 x 7.2 mm (7.22 x 4.09 x 0.28 in),239 g (8.43 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","LTPS IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~74.5% screen-to-body ratio)","1200 x 1920 pixels, 16:10 ratio (~323 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.6 GHz Cortex-A9,,microSDHC (dedicated slot),16GB 2GB RAM,"13 MP, AF","LED flash, HDR, panorama",1080p@30fps,5 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, LE","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Po 5000 mAh, non-removable (19 Wh)",,Champagne,About 400 EUR,HiSilicon Balong V9R1,,,Up to 480 h (3G),Up to 10 h (multimedia) (3G),,,,,,,,,,,,,,,,,,,,,,,
hp,HP Slate7 VoiceTab,https://fdn2.gsmarena.com/vv/bigpic/HP-Slate7-VoiceTab1.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA,,HSPA,"2014, January. Released 2014, February",Discontinued,9.5 mm thickness,325 g (11.46 oz),Dual SIM (Mini-SIM & Micro-SIM),"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.2 GHz,,microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF","LED flash, panorama",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 4100 mAh, non-removable",,Black/White,About 180 EUR,Marvell PXA1088,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,
hp,HP Slate6 VoiceTab,https://fdn2.gsmarena.com/vv/bigpic/HP-Slate6-VoiceTab.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100,,HSPA 21.1/5.76 Mbps,"2014, January. Released 2014, February",Discontinued,165 x 83.2 x 8.8 mm (6.50 x 3.28 x 0.35 in),160 g (5.64 oz),"Dual SIM, (dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~72.3% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",Android 4.3 (Jelly Bean),Quad-core 1.2 GHz,,microSDXC (dedicated slot),16GB 1GB RAM,"5 MP, AF","LED flash, panorama",Yes,2 MP,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, hotspot","3.0, EDR","Yes, with A-GPS",Stereo FM radio,microUSB 2.0,"Accelerometer, gyro, proximity, compass","Li-Ion 3000 mAh, removable",,Black,About 270 EUR,Marvell PXA1088,,,,,,,,,,,,,,,,,,,,,,,,,,,
hp,HP Slate8 Pro,https://fdn2.gsmarena.com/vv/bigpic/hp-slate8-pro.jpg,No cellular connectivity,N/A,,,,"2013, December. Released 2013, December",Discontinued,220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in),453.6 g (1.00 lb),No,"Capacitive touchscreen, 16M colors","8.0 inches, 198.2 cm2 (~63.7% screen-to-body ratio)","1200 x 1600 pixels, 4:3 ratio (~250 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.8 GHz Cortex-A15,,microSDHC (dedicated slot),16GB 1GB RAM,"8 MP, AF",LED flash,Yes,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","4.0, LE",Yes,No,microUSB 2.0,"Accelerometer, gyro, compass","Li-Po 5680 mAh, non-removable",,Black/White,About 240 EUR,Nvidia Tegra 4 T40 S,,,,Up to 11 h 30 min (multimedia),,,Corning Gorilla Glass 3,Beats Audio,HDMI port,,,No,No,,,,,,,,,,,,,,
hp,HP Slate10 HD,https://fdn2.gsmarena.com/vv/bigpic/hp-slate10-hd.jpg,No cellular connectivity,N/A,,,,"2013, December. Released 2013, December",Discontinued,259 x 178 x 9.7 mm (10.20 x 7.01 x 0.38 in),626 g (1.38 lb),No,"Capacitive touchscreen, 16M colors","10.0 inches, 290.0 cm2 (~62.9% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~151 ppi density)",Android 4.2.2 (Jelly Bean),Dual-core 1.2 GHz,,microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF",,1080p@30fps,2 MP,720p,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",3.0,Yes,No,microUSB 2.0,"Accelerometer, gyro, compass","Li-Po 7000 mAh, non-removable",,Black/Silver,About 220 EUR,Marvell PXA986,Beats Audio,,,Up to 10 h (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP Slate7 Extreme,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-extreme.jpg,No cellular connectivity,N/A,,,,"2013, December. Released 2013, December",Discontinued,200 x 120 x 9.4 mm (7.87 x 4.72 x 0.37 in),319.8 g (11.25 oz),No,"IPS LCD capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~59.2% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.8 GHz Cortex-A15,,microSDHC (dedicated slot),16GB 1GB RAM,"5 MP, AF",,720p,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,3.0,Yes,No,microUSB 2.0,"Accelerometer, gyro, compass","Li-Po 4100 mAh, non-removable",,Black/Silver,About 150 EUR,Nvidia Tegra 4,,,,Up to 10 h 30 min (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP Slate7 Plus,https://fdn2.gsmarena.com/vv/bigpic/hp-slate7-plus.jpg,No cellular connectivity,N/A,,,,"2013, December. Released 2013, December",Discontinued,194.7 x 122.7 x 10.7 mm (7.67 x 4.83 x 0.42 in),340.2 (11.99 oz),No,"Capacitive touchscreen, 16M colors","7.0 inches, 142.1 cm2 (~59.5% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~216 ppi density)",Android 4.2.2 (Jelly Bean),Quad-core 1.3 GHz Cortex-A9,,microSDHC (dedicated slot),8GB 1GB RAM,"5 MP, AF",,720p,VGA,,"Yes, with stereo speakers",Yes,Wi-Fi 802.11 b/g/n,3.0,Yes,No,microUSB 2.0,"Accelerometer, compass","Li-Po 4000 mAh, non-removable",,Black/Silver,About 110 EUR,Nvidia Tegra 3,,,,Up to 7 h 30 min (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP Slate 7,https://fdn2.gsmarena.com/vv/bigpic/hp-slate-7-new.jpg,No cellular connectivity,N/A,,,,"2013, February. Released 2013, April",Discontinued,197.1 x 116.1 x 10.7 mm (7.76 x 4.57 x 0.42 in),372 g (13.12 oz),No,"FFS+ LCD capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~60.3% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",Android 4.1 (Jelly Bean),Dual-core 1.6 GHz Cortex-A9,,microSDHC (dedicated slot),8GB 1GB RAM,3.15 MP,,720p@30fps,VGA,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 b/g/n, DLNA","2.1, A2DP, EDR",No,No,microUSB 2.0,Accelerometer,"Li-Ion, non-removable",,"Black/Silver, Red",About 130 EUR,,,,,Up to 5 h (multimedia),,,,,,,,No,No,,,,,,,,,,,,,,
hp,HP TouchPad 4G,https://fdn2.gsmarena.com/vv/bigpic/hp-touchpad-4g.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,,HSPA,"2011, July",Cancelled,240 x 190 x 13.7 mm (9.45 x 7.48 x 0.54 in),740 g (1.63 lb),Mini-SIM,"LED-backlit LCD, capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~63.9% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)",HP webOS 3.0,Dual-core 1.2 GHz Scorpion,Adreno 220,No,32GB 1GB RAM,1.3 MP,,No,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","2.1, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, gyro, compass",Non-removable Li-Ion 6300 mAh battery,,Black,,Qualcomm APQ8060 Snapdragon S3,No,,Up to 300 h,Up to 6 h,,,,Touchstone technology SNS applications MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer/editor Predictive text input,,,,,,,,,,,,,,,,,,,
hp,HP Veer 4G,https://fdn2.gsmarena.com/vv/bigpic/hp-veer-4g-new.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900 / 2100,,HSPA 14.4/5.76 Mbps,"2011, May. Released 2011, May 15",Discontinued,84 x 54.5 x 15.1 mm (3.31 x 2.15 x 0.59 in),103 g (3.63 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","2.6 inches, 21.3 cm2 (~46.5% screen-to-body ratio)",320 x 400 pixels (~197 ppi density),HP webOS 2.1,800 MHz Scorpion,Adreno 205,No,8GB (6.1GB user available),5 MP,fixed focus,Yes,,,Yes,No,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 910 mAh battery,,"White, black",About 320 EUR,Qualcomm MSM7230,No,,Up to 300 h,Up to 5 h,,,,AT&T dedicated applications MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input,,,,,,,,,,,,,,,QWERTY,"HTML, Adobe Flash",,,
hp,HP Veer,https://fdn2.gsmarena.com/vv/bigpic/hp-veer-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 850 / 1900,,HSPA 7.2/5.76 Mbps,"2011, February. Released 2011, June",Discontinued,84 x 54.5 x 15.1 mm (3.31 x 2.15 x 0.59 in),103 g (3.63 oz),Mini-SIM,"TFT capacitive touchscreen, 256K colors","2.6 inches, 21.3 cm2 (~46.5% screen-to-body ratio)",320 x 400 pixels (~197 ppi density),HP webOS 2.2,800 MHz Scorpion,Adreno 205,No,8GB (6.5GB user available),5 MP,fixed focus,Yes,,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity",Removable Li-Ion 910 mAh battery,,Black,About 320 EUR,Qualcomm MSM7230,HSDPA 900 / 2100,,Up to 300 h,Up to 5 h,,,,No,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input,,,,,,,,,,,,,,QWERTY,"HTML, Adobe Flash",,,
hp,HP Pre 3 CDMA,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-3-ofic.jpg,GSM / CDMA / HSPA / EVDO,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,,HSPA 7.2/5.76 Mbps / EV-DO Rev.A 3.1 Mbps,"2011, February",Cancelled,111 x 64 x 16 mm (4.37 x 2.52 x 0.63 in),156 g (5.50 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.58 inches, 36.5 cm2 (~51.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~261 ppi density)",HP webOS 2.2,1.4 GHz Scorpion,Adreno 205,No,"8GB 512MB RAM, 16GB 512MB RAM","5 MP, AF",LED flash,720p,VGA,,Yes,Yes,Wi-Fi 802.11 b/g/n,"2.1, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1230 mAh battery,,Black,,Qualcomm MSM8655 Snapdragon S2,CDMA 800 / 1900,,Up to 300 h,Up to 5 h,,,,CDMA2000 1xEV-DO,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input,,,,,,,,,,,,,,QWERTY,,,,
hp,HP Pre 3,https://fdn2.gsmarena.com/vv/bigpic/palm-pre-3-ofic.jpg,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,HSDPA 900 / 1900 / 2100,,HSPA 7.2/5.76 Mbps,"2011, February. Released 2011, August",Discontinued,111 x 64 x 16 mm (4.37 x 2.52 x 0.63 in),156 g (5.50 oz),Mini-SIM,"TFT capacitive touchscreen, 16M colors","3.58 inches, 36.5 cm2 (~51.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~261 ppi density)",HP webOS 2.2,1.4 GHz Scorpion,Adreno 205,No,8GB 512MB RAM,"5 MP, AF",LED flash,720p,VGA,,Yes,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","2.1, A2DP, EDR","Yes, with A-GPS",No,microUSB 2.0,"Accelerometer, proximity, compass",Removable Li-Ion 1230 mAh battery,,Black,About 350 EUR,Qualcomm MSM8255 Snapdragon S2,MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer Voice memo/dial Predictive text input,,Up to 300 h,Up to 5 h,,,,,,,,,,,,,,,,,,,QWERTY,"HTML, Adobe Flash",,,
hp,HP TouchPad,https://fdn2.gsmarena.com/vv/bigpic/hp-touch-pad-new.jpg,No cellular connectivity,N/A,,,,"2011, February. Released 2011, July",Discontinued,240 x 190 x 13.7 mm (9.45 x 7.48 x 0.54 in),740 g (1.63 lb),No,"LED-backlit LCD, capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~63.9% screen-to-body ratio)","768 x 1024 pixels, 4:3 ratio (~132 ppi density)",HP webOS 3.0,Dual-core 1.2 GHz Scorpion,Adreno 220,No,"16GB 1GB RAM, 32GB 1GB RAM",1.3 MP,,No,,,"Yes, with stereo speakers",Yes,"Wi-Fi 802.11 a/b/g/n, dual-band","2.1, A2DP, EDR",No,No,microUSB 2.0,"Accelerometer, gyro",Non-removable Li-Ion 6300 mAh battery,,Black,About 280 EUR,Qualcomm APQ8060 Snapdragon S3,No,,Up to 300 h,Up to 9 h,,,,Touchstone technology SNS applications MP3/WAV/eAAC+ player MP4/H.264 player Organizer Document viewer/editor Predictive text input,,,,No,No,,,,,,,,,,,"HTML, Adobe Flash",,,
