Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,Keyboard,SIM,Type,Size,Resolution,,OS,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1,Type_1,Stand-by,Talk time,Colors,Price,Chipset,GPU,Features,Alert types,_1_1,GPRS,EDGE,Infrared port,Languages,Phonebook,Call records,Messaging,Games,Java
i_mobile,i-mobile TV 523,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-523.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, October. Released 2008, October",Discontinued,110 x 49 x 14.5 mm (4.33 x 1.93 x 0.57 in),98 g (3.46 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~27.8% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",No,,,microSD (dedicated slot),,VGA,Yes,,,"Yes, with stereo speakers",No,No,"1.2, A2DP",No,FM radio,Proprietary,,WAP 2.0/xHTML,TV tuner Motion sensor MP3 player MP4 player Organizer World clock Stop watch Talking dictionary,Removable Li-Ion 1000 mAh battery,Up to 300 h,Up to 3 h,"Black, Silver",,,,,,,Class 12,No,,,1000 entries,Yes,"SMS, MMS",Yes,"Yes, MIDP 2.0"
i_mobile,i-mobile 522,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-522.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, October. Released 2008, October",Discontinued,111 x 49 x 14.5 mm (4.37 x 1.93 x 0.57 in),93.6 g (3.28 oz),,Dual SIM (Mini-SIM),"TFT, 256K colors","2.2 inches, 15.0 cm2 (~27.6% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",No,,,microSD (dedicated slot),120MB,VGA,No,,,No,No,No,"1.2, A2DP",No,FM radio,Proprietary,,WAP 2.0/xHTML,Built-in Yamaha Audio Amplifier MP3 player MP4 player Organizer World clock Stop watch Talking dictionary,Removable Li-Ion 1000 mAh battery,Up to 200 h,Up to 3 h,"Black, Silver",,,,,,,Class 10,No,,,500 entries,Yes,"SMS, MMS",Yes,"Yes, MIDP 2.0"
i_mobile,i-mobile 320,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-320.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, October. Released 2008, December",Discontinued,112 x 49 x 12.8 mm (4.41 x 1.93 x 0.50 in),95 g (3.35 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~27.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)","wallpapers, themes",,,microSD (dedicated slot),,VGA,Yes,,,No,No,No,Yes,No,FM radio,miniUSB,,WAP 2.0/xHTML,No,Removable Li-Ion 750 mAh battery,Up to 250 h,Up to 2 h 30 min,"Black, White",,,,,,Yamaha audio amplifier MP3 player MP4/3GP player  Organizer World clock Stop watch Predictive text input,Class 10,No,,,Yes,Yes,"SMS, MMS",Yes,No
i_mobile,i-mobile 319,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-319.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, September. Released 2008, September",Discontinued,96 x 44 x 13.9 mm (3.78 x 1.73 x 0.55 in),80 g (2.82 oz),,Mini-SIM,"TFT, 256K colors","1.67 inches, 8.8 cm2 (~20.8% screen-to-body ratio)",128 x 160 pixels (~123 ppi density),No,,,microSD (dedicated slot),50MB,"VGA, AF",Yes,,,No,No,No,"1.2, A2DP",No,FM radio,Proprietary,,WAP 2.0/xHTML,Yamaha Audio Amplifier Motion sensor MP3 player Video player Organizer World clock Stop watch Talking dictionary,Removable Li-Ion 830 mAh battery,,,"Black, White, Gray",,,,LED flash,,,Class 10,No,,,500 entries,Yes,"SMS, MMS",Yes,No
i_mobile,i-mobile TV 626,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-626.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, July. Released 2008",Discontinued,113.9 x 50 x 15.5 mm (4.48 x 1.97 x 0.61 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors","2.4 inches, 17.8 cm2 (~31.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)","Wallpapers, themes",,,microSD (dedicated slot),87MB,"3.15 MP, Casio-Hitachi module, AF",Yes,,,Yes,No,No,"1.2, A2DP",No,FM radio,Proprietary,,WAP 2.0/xHTML,No,Removable Li-Ion 1000 mAh battery,Up to 210 h,Up to 2 h 30 min,"Black, Silver, White",,,,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones",TV tuner TV-out MP3 player MP4 player Organizer World clock Stop watch Voice memo,Class 10,No,,,"1000 entries, Photocall",Yes,"SMS, EMS, MMS",Yes,Yes
i_mobile,i-mobile 902,https://fdn2.gsmarena.com/vv/bigpic/imobile-902.jpg,GSM,GSM 900 / 1800 / 1900,,,"2007, October",Discontinued,102 x 48 x 17.5 mm (4.02 x 1.89 x 0.69 in),94 g (3.32 oz),,Mini-SIM,"TFT, 16M","2.0 inches, 12.4 cm2 (~25.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","Wallpapers, themes",,,"microSD (dedicated slot), 1 GB included",128MB,5 MP,480p,,,No,No,No,"2.0, A2DP",No,"Stereo FM radio, RDS",miniUSB,,WAP 2.0/xHTML,No,Removable Li-Ion 1100 mAh battery,Up to 300 h,Up to 3 h 30 min,Silver,,,,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones",TV-out MP3 player MP4 player Predictive text input Organizer World clock Stop watch,Class 10,No,,,500 entries,Yes,"SMS, EMS, MMS",Yes,Yes
i_mobile,i-mobile 625,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-625.jpg,GSM,GSM 900 / 1800 / 1900,,,"2008, May. Released 2008, May",Discontinued,105 x 47 x 13 mm (4.13 x 1.85 x 0.51 in),90 g (3.17 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~25.1% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)","wallpapers, themes",,,"microSD (dedicated slot), 1 GB included",60MB,"3.15 MP, Casio-Hitachi module, AF",Yes,,,No,No,No,"2.0, A2DP",No,FM radio,Proprietary,,WAP 2.0/xHTML,No,Removable Li-Ion 830 mAh battery,Up to 210 h,Up to 2 h 30 min,"Black, Silver",,,,LED flash,"Vibration; Downloadable polyphonic, MP3 ringtones",Yamaha audio amplifier  MP3 player MP4 player Organizer World clock Stop watch,Class 10,No,,,1000 entries,Yes,"SMS, EMS, MMS",Yes,Yes
i_mobile,i-mobile 903,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-903.jpg,GSM,GSM 900 / 1800 / 1900,,,"2007, May. Released 2007, May",Discontinued,106 x 47 x 17 mm (4.17 x 1.85 x 0.67 in),88 g (3.10 oz),,Mini-SIM,"TFT, 256K colors","2.0 inches, 12.4 cm2 (~24.9% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~200 ppi density)",wallpapers,,,"microSD (dedicated slot), 1 GB included",64MB,2 MP,Yes,,,No,No,No,"2.0, A2DP",No,FM radio,Proprietary,,WAP 2.0/xHTML,No,Removable Li-Ion 850 mAh battery,Up to 200 h,Up to 2 h,"Black, White",,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",MP3 player MP4 player Talkie Gang (short-distance radio transceiver function) Organizer World clock Stop watch,Class 10,No,,,1000 entries,Yes,"SMS, EMS, MMS",Yes,Yes
i_mobile,i-mobile 613,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-613.jpg,GSM,GSM 900 / 1800 / 1900,,,"2007, December. Released 2007, December",Discontinued,113 x 50 x 18 mm (4.45 x 1.97 x 0.71 in),74.5 g (2.61 oz),,Mini-SIM,"TFT, 256K colors","2.2 inches, 15.0 cm2 (~26.5% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~182 ppi density)",,,,"microSD (dedicated slot), 1 GB included",87MB,"3.15 MP, AF",Yes,,,"Yes, with stereo speakers",No,No,"1.2, A2DP",No,FM radio,Proprietary,Accelerometer,WAP 2.0/xHTML,No,Removable Li-Ion 1000 mAh battery,Up to 300 h,Up to 3 h,Black,,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",TV-out MP3 player MP4 player Organizer World clock Stop watch,Class 12,No,,,1000 entries,Yes,SMS,Yes,Yes
i_mobile,i-mobile 520,https://fdn2.gsmarena.com/vv/bigpic/i-mobile-520.jpg,GSM,GSM 900 / 1800 / 1900,,,"2007, December. Released 2007, December",Discontinued,104 x 46 x 12.4 mm (4.09 x 1.81 x 0.49 in),80 g (2.82 oz),,Mini-SIM,"TFT, 256K colors","1.76 inches, 9.7 cm2 (~20.4% screen-to-body ratio)",176 x 220 pixels (~160 ppi density),"wallpapers, themes",,,"microSD (dedicated slot), 1 GB included",56MB,1.3 MP,Yes,,,No,No,No,"2.0, A2DP",No,FM radio,Proprietary,,WAP 2.0/xHTML,No,Removable Li-Ion 750 mAh battery,Up to 200 h,Up to 3 h,"Black, Silver",,,,,"Vibration; Downloadable polyphonic, MP3 ringtones",Yamaha audio amplifier MP3 player MP4 player Organizer World clock Stop watch,Class 10,No,,,1000 entries,Yes,"SMS, MMS",Yes,"Yes, MIDP 2.0"
